@@,name,position
->,Anderson Torres,Minister of Justice and Public Security->ministerio-da-justica-e-seguranca-publica
---,Wagner Rosário,Comptroller General of the Union
---,Victor Godoy Veiga,minister of Education of Brazil
---,Ronaldo Bento,Minister of Citizenship
---,Roberto Campos Neto,President of the Central Bank of Brazil
---,Paulo Sérgio Nogueira de Oliveira,Minister of Defence
---,Paulo Roberto Nunes Guedes,Minister of the Economy
---,Paulo Alvim,"Minister of Science, Technology, Innovations and Communications"
---,Marcos Montes Cordeiro,minister of Agriculture
---,Marcelo Sampaio,Minister of Infrastructure
---,Marcelo Queiroga,Minister of Health
---,Luiz Eduardo Ramos,Secretary-General of the Presidency
---,José Carlos Oliveira,Minister of Labour of Brazil
---,Joaquim Alvaro Pereira Leite,Minister of the Environment
---,Jair Bolsonaro,President of Brazil
---,Hamilton Mourão,Vice President of the Federative Republic of Brazil
---,Fabio Faria,Minister of Communications of Brazil
---,Eduardo Pazuello,Secretary of Strategic Affairs of the Presidency
---,Daniel de Oliveira,Minister of Regional Development
---,Célio Faria Júnior,Secretary of Government
---,Cristiane Rodrigues Britto,"Minister of Women, Family and Human Rights"
---,Ciro Nogueira Lima Filho,Chief of Staff of the Presidency
---,Carlos Brito,Minister of Tourism of Brazil
---,Carlos Alberto Franco França,Minister of Foreign Affairs
---,Bruno Bianco,Attorney General of the Union
---,Augusto Heleno,Chief Minister of the Institutional Security Office of the Presidency of the Republic
---,Adolfo Sachsida,Minister of Mines and Energy
+++,ministrosdeestadoMarceloQueiroga.png,ministerio-da-saude
+++,f3097f2e-bb1c-4eee-9168-e340bc4f230d.jpeg,ministerio-da-economia
+++,copy_of_MTur.png,ministerio-do-turismo
+++,copy_of_MTP.png,ministerio-de-estado-do-trabalho-e-previdencia
+++,copy3_of_MDR.png,ministerio-do-desenvolvimento-regional
+++,copy2_of_MAPA.png,ministerio-da-agricultura
+++,a81c4223-b452-4d06-9152-7d9e4848f87f.jpeg,controladoria-geral-da-uniao-cgu
+++,WhatsAppImage20220428at14.21.29.jpeg,ministerio-da-cidadania
+++,WhatsAppImage20220406at10.20.53.jpeg,ministerio-da-ciencia-tecnologia-inovacoes-e-comunicacoes
+++,WhatsAppImage20220405at10.11.211.jpeg,ministerio-da-mulher-familia-e-direitos-humanos
+++,SGPRLuizEduardoRamos.png,secretaria-geral-da-presidencia-da-republica
+++,SEGOVCelioFariaJunior.png,secretaria-de-governo-da-presidencia-da-republica
+++,Ministro da Educação,
+++,Ministro da Defesa Paulo Sérgio,ministerio-da-defesa
+++,MiRelExteriores1.png,ministerio-das-relacoes-exteriores
+++,MMEAdolfoSachsida1.png,ministerio-de-minas-e-energia
+++,MINFRAMarceloSampaioCunhaFilho.png,ministerio-da-infraestrutura
+++,Joaquim Álvaro,ministerio-do-meio-ambiente
+++,Ciro Nogueira,casa-civil-da-presidencia-da-republica
+++,Bruno Bianco Leal,advocacia-geral-da-uniao-agu
+++,67fdb5f5-7ed8-493c-a466-e25c4476bc64.jpeg,gabinete-de-seguranca-institucional
+++,31013c31-ee90-4fba-9cf1-154dc4547108.png,ministerio-das-comunicacoes
