@@,itemlabel,item,startdate,enddate
->,Venâncio Augusto de Magalhães Neiva->Venâncio Neiva,Q10389743,1889-11-16,1891-11-27
+++,Junta governativa paraibana de 1891,Q10313035,1891-11-27,1892-02-18
->,Antônio Alfredo da Gama e Melo->Antônio Alfredo Mello,Q9620768,1896-10-22,1900-10-22
->,Valfredo Soares dos Santos Leal->Valfredo Leal,Q10388914,1905-10-28,1908-10-28
->,Castro Pinto->João Castro Pinto,Q9706664,1912-10-22,1915-07-24
->,Antônio da Silva Pessoa,Q16492402,1915-07-24,1916-07-01->1916-07
->,Sólon Barbosa de Lucena,Q10376604,1916-07-01->1916-07,1916-10-22
->,João Suaçuna->João Suassuna,Q10312237,1924-10-22,1928-10-22
->,João Pessoa Cavalcanti de Albuquerque->João Pessoa Cavalcanti,Q1406251,1928-10-22,1930-07-26
->,Samuel Vital Duarte->Samuel Duarte,Q10367346,1945-07-15,1945-11-06
->,José Gomes da Silva (político)->José Gomes da Silva,Q10309520,1946-09-20,1947-03-04
->,Osvaldo Trigueiro de Albuquerque Melo->Osvaldo Trigueiro,Q168447,1947-03-04,1951-01-31
->,João Agripino de Vasconcelos Maia Filho->João Agripino Maia,Q10310998,1966-01-01->1966-01-31,1971-01-01->1971-03-15
+++,Ernâni Sátiro,,1971-03-15,1975-03-15
+++,Tarcísio Burity,,1979-03-15,1982-05-14
->,Clóvis Bezerra Cavalcanti->Clóvis Cavalcanti,Q18244379,1982-05-14,1983-03-15
->,Rivando Bezerra Cavalcanti->Rivando Cavalcanti,Q21020285,1986-05-15,1986-06-14
+++,Tarcísio Burity,,1987-03-15,1991-03-15
->,Cícero Lucena->Cícero de Lucena,Q964332,1994-04-02,1995-01-01->1995-01
->,Antônio Mariz,Q8202087,1995-01-01->1995-01,1995-09-16
->,José Maranhão,Q6293085,1995-09-16,1999-01-01->1999-01
->,José Maranhão,Q6293085,1999-01-01->1999-01,2002-04-06
+++,Cássio Cunha Lima,Q7638345,2003-01,2007-01
---,Cássio Cunha Lima,Q7638345,2003-01-01,2007-01-01
->,Cássio Cunha Lima,Q7638345,2007-01-01->2007-01,2009-02-17
->,Ricardo Coutinho,Q7322605,2011-01-01->2011-01,2014-12-31
->,Ricardo Coutinho,Q7322605,2015-01-01->2015-01,2018-12-31
->,João Azevêdo,Q56351397,2019-01-01->2019-01,
