item,name,source,sourceDate,position,positionLabel,ministry,ministryLabel,start,psid
Q10279146,Fabio Faria,,,Q96240294,Minister of Communications of Brazil,Q10330401,Ministry of Communications of Brazil,2020-06-17,Q10279146-ed62f5f3-4655-ee28-2342-53701ad78509
Q10304982,Jair Bolsonaro,,,Q5176750,Presidente de Brasil,,,2019-01-01,Q10304982-aa9dba23-4aca-8e9b-fc97-269d7d5f969b
Q10325465,Marcos Montes Cordeiro,,,Q18176428,Ministros de Agricultura de Brasil,Q4294676,Ministerio de Agricultura de Brasil,2022-03-31,Q10325465-7437c178-4fdc-3e7c-1a8c-551d89058af6
Q105969706,Marcelo Queiroga,https://en.wikipedia.org/wiki/Marcelo_Queiroga,2021-12-04,Q59346265,Ministros de Salud de Brasil,Q6867090,Ministerio de Salud de Brasil,2021-03-23,Q105969706-E1A9D08B-FC99-4C28-BB17-5AB5D5BDCBAC
Q106271551,Carlos Alberto Franco França,https://en.wikipedia.org/wiki/Carlos_Alberto_França,2021-12-04,Q18176431,Ministros de Relaciones Exteriores de Brasil,Q1193807,Ministerio de Relaciones Exteriores de Brasil,2021-03-29,Q106271551-A498BDC4-570F-4D44-8D75-1F04A386DCDC
Q106290142,Anderson Torres,https://en.wikipedia.org/wiki/Anderson_Torres,2021-11-04,Q18176440,Ministro de Justicia de Brasil,Q10330387,Ministerio de Justicia de Brasil,2020-03-30,Q106290142-B39F9591-97D9-4A5E-8730-700B923EFED6
Q106307801,Paulo Sérgio Nogueira de Oliveira,https://en.wikipedia.org/wiki/Paulo_Sérgio_Nogueira_de_Oliveira,2022-04-01,Q59346258,Minister of Defense of Brazil,Q1153972,Ministerio de Defensa de Brasil,2022-03-31,Q106307801-17C25A31-A324-46D1-AFA8-B0151A89B435
Q106621007,Carlos Brito,,,Q59346275,Ministros de Turismo de Brasil,Q1193732,Ministerio de Turismo de Brasil,2022-03-31,Q106621007-9dc56d64-4702-961f-2f3b-d6ebe80ffc37
Q107348193,Joaquim Alvaro Pereira Leite,https://en.wikipedia.org/wiki/Joaquim_Alvaro_Pereira_Leite,2021-12-04,Q16141555,Ministro del Medio Ambiente de Brasil,Q10330425,Ministerio de Medio Ambiente de Brasil,2021-06-23,Q107348193-B1315318-1E18-4E54-A586-2A8E1444ECCA
Q107972708,Bruno Bianco,https://en.wikipedia.org/wiki/Bruno_Bianco,2021-12-04,Q12276986,Procurador General de la Unión,Q1439359,Procuradoría General,2021-08-06,Q107972708-E8FE655E-DF7A-4142-8CC9-1B679C890CF8
Q111444580,Paulo Alvim,,,Q59346256,Ministros de Ciencia y Tecnología de Brasil,Q4251321,"Ministerio de Ciencia, Tecnología e Innovación de Brasil",2022-03-31,Q111444580-4d349e97-4a07-c12e-21ed-c3dc5174ae21
Q111446648,José Carlos Oliveira,,,Q52334511,Ministros de Trabajo de Brasil,Q10330434,Ministerio de Trabajo de Brasil,2022-03-31,Q111446648-8A6DAC19-B35B-400C-B523-BBEB4C4D904D
Q111446662,Cristiane Rodrigues Britto,,,Q96239851,"Minister of Women, Family and Human Rights",Q28677083,Ministerio de Derechos Humanos de Brasil,2022-03-31,Q111446662-1A55F762-1638-41BB-906B-E2BD8F587868
Q111446664,Marcelo Sampaio,,,Q109920325,Minister of Infrastructure,Q10330382,Ministry of Infrastructure,2022-03-31,Q111446664-423814E3-9407-495B-8193-148386AFECF2
Q111446676,Daniel de Oliveira,,,Q109922293,Minister of Regional Development,Q60999706,Ministry of Regional Development,2022-03-31,Q111446676-CBE367AE-B970-4F75-A744-E1523F090895
Q111446916,Célio Faria Júnior,,,Q25420289,Secretaría de Gobierno de Brasil,,,2021-03-31,Q111446916-9BDE8658-7B6E-422A-8D58-22C2CAE44626
Q111446919,Ronaldo Bento,,,Q96239481,Minister of Citizenship,,,2022-03-31,Q111446919-2ce7d0ad-45f1-3783-baab-5e870aa87019
Q15985219,Ciro Nogueira Lima Filho,https://en.wikipedia.org/wiki/Ciro_Nogueira_Lima_Filho,2021-12-04,Q5097042,Jefe de Gabinete de la Presidencia de la República,Q59345935,Staff of Brazil,2021-07-26,Q15985219-FECD27FC-DE81-49C7-981B-5DCBB4B6E32C
Q30936068,Wagner Rosário,https://en.wikipedia.org/wiki/Wagner_de_Campos_Rosário,2021-12-04,Q98516321,Chief Minister of the Comptroller General of the Union of Brazil,Q3624988,Office of the Comptroller General,2017-05-31,Q30936068-F913BC84-550C-4202-91B0-E6758A034B83
Q52871852,Hamilton Mourão,,,Q2978540,vicepresidente de Brasil,Q106089893,Q106089893,2019-01-01,Q52871852-bfc192a2-b3c7-4a9e-a587-f8bfdb819c05
Q56347746,Paulo Roberto Nunes Guedes,https://en.wikipedia.org/wiki/Paulo_Guedes,2021-12-04,Q105527854,minister of Economy of Brazil,Q61002584,Ministry of Economy,2019-01-01,Q56347746-70ABDA16-E6BD-4E31-A0EE-68D14C3C4C44
Q59308525,Bento Albuquerque,https://en.wikipedia.org/wiki/Bento_Costa_Lima,2021-12-04,Q59346269,Minister of Mines and Energy,Q2602051,Ministerio de Minas y Energía de Brasil,2019-01-01,Q59308525-6B956405-9A39-4ACC-94F5-A42D4F0D2730
Q64682549,Luiz Eduardo Ramos,https://en.wikipedia.org/wiki/Luiz_Eduardo_Ramos,2021-12-04,Q98609740,Secretary-General of the Presidency,Q10369203,Secretaría General de la Presidencia de la República,2021-07-26,Q64682549-AA9425DE-600C-45F9-8794-D0C9C54063E7
Q94787924,Eduardo Pazuello,https://en.wikipedia.org/wiki/Eduardo_Pazuello,2021-12-04,Q109920210,Secretary of Strategic Affairs of the Presidency,Q10369260,Secretariat for Strategic Affairs of Brazil,2021-06-01,Q94787924-C665328C-5C8F-4B0E-9C3C-247B81E3F7CC
Q9637698,Augusto Heleno,,,Q99236096,Chief Minister of the Institutional Security Office of the Presidency of the Republic,Q10287832,Gabinete de Seguridad Institucional de la Presidencia de la República,2019-01-01,Q9637698-82449510-49c8-8133-a3c8-076c480ca5ba
